time,currency,selling,buying,eff_buying,eff_selling
31-08-20_11:21,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:21,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:22,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:23,USD,7.309,7.3825,7.298,7.4046
31-08-20_11:23,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:24,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:24,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:25,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:26,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:26,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:27,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:27,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:28,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:29,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:29,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:30,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:30,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:31,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:32,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:32,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:33,USD,7.3085,7.382,7.2975,7.4041
31-08-20_11:33,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:34,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:35,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:35,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:36,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:36,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:37,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:38,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:38,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:39,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:39,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:40,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:41,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:41,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:42,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:42,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:43,USD,7.308,7.3815,7.297,7.4036
31-08-20_11:44,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:44,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:45,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:45,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:46,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:47,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:47,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:48,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:48,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:49,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:50,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:50,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:51,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:51,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:52,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:53,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:53,USD,7.3018,7.3752,7.2908,7.3973
31-08-20_11:54,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:54,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:55,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:56,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:56,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:57,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:57,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:58,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:59,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_11:59,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:00,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:00,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:01,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:02,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:02,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:03,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:03,USD,7.2963,7.3697,7.2854,7.3918
31-08-20_12:04,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:05,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:05,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:06,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:06,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:07,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:08,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:08,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:09,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:09,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:10,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:11,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:11,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:12,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:12,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:13,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:14,USD,7.2996,7.3729,7.2887,7.395
31-08-20_12:14,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:15,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:15,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:16,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:17,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:17,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:18,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:18,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:19,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:20,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:20,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:21,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:21,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:22,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:23,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:23,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:24,USD,7.3045,7.378,7.2935,7.4001
31-08-20_12:24,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:25,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:26,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:26,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:27,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:27,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:28,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:29,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:29,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:30,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:30,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:31,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:32,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:32,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:33,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:33,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:34,USD,7.306,7.3795,7.295,7.4016
31-08-20_12:35,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:35,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:36,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:36,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:37,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:38,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:38,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:39,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:39,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:40,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:41,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:41,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:42,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:42,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:43,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:44,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:44,USD,7.3083,7.3817,7.2973,7.4038
31-08-20_12:45,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:45,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:46,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:47,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:47,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:48,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:48,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:49,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:50,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:50,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:51,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:51,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:52,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:53,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:53,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:54,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:54,USD,7.3103,7.3837,7.2993,7.4059
31-08-20_12:55,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:56,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:56,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:57,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:57,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:58,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:59,USD,7.3145,7.388,7.3035,7.4102
31-08-20_12:59,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:00,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:00,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:01,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:02,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:02,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:03,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:03,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:04,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:05,USD,7.3145,7.388,7.3035,7.4102
31-08-20_13:05,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:06,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:06,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:07,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:08,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:08,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:09,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:09,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:10,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:10,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:11,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:12,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:12,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:13,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:13,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:14,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:15,USD,7.3172,7.3908,7.3062,7.413
31-08-20_13:15,USD,7.321,7.3945,7.31,7.4167
31-08-20_13:16,USD,7.321,7.3945,7.31,7.4167
31-08-20_13:17,USD,7.321,7.3945,7.31,7.4167
